season,temp,category,waterproof,tone,gender,copy
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
0,20,shirt,0,0,m,0
3,20,shirt,0,0,m,1
0,20,shirt,0,1,m,1
3,20,shirt,0,1,m,1
0,20,shirt,0,2,m,1
3,20,shirt,0,2,m,1
0,20,shirt,0,3,m,1
3,20,shirt,0,3,m,1
0,20,shirt,0,4,m,1
2,20,shirt,0,4,m,1
3,20,shirt,0,4,m,0
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
0,20,shirt,0,4,m,0
2,20,shirt,0,4,m,1
3,20,shirt,0,4,m,1
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
0,50,shirt,0,4,m,0
2,50,shirt,0,4,m,1
3,50,shirt,0,4,m,1
2,25,shirt,0,4,m,0
3,25,shirt,0,4,m,1
1,20,shirt,0,4,m,0
2,20,shirt,0,4,m,1
3,20,shirt,0,4,m,1
0,50,shirt,0,0,m,0
1,50,shirt,0,0,m,1
0,50,shirt,0,1,m,1
1,50,shirt,0,1,m,1
0,50,shirt,0,2,m,1
1,50,shirt,0,2,m,1
0,50,shirt,0,3,m,1
1,50,shirt,0,3,m,1
2,25,shirt,0,0,m,0
3,25,shirt,0,0,m,1
2,25,shirt,0,1,m,1
3,25,shirt,0,1,m,1
2,25,shirt,0,2,m,1
3,25,shirt,0,2,m,1
2,25,shirt,0,3,m,1
3,25,shirt,0,3,m,1
4,50,shirt,0,0,m,0
4,50,shirt,0,1,m,1
4,50,shirt,0,2,m,1
4,50,shirt,0,3,m,1
2,20,shirt,0,0,m,0
2,20,shirt,0,1,m,1
2,20,shirt,0,2,m,1
2,20,shirt,0,3,m,1
1,50,shirt,0,0,m,0
2,50,shirt,0,0,m,1
1,50,shirt,0,1,m,1
2,50,shirt,0,1,m,1
1,50,shirt,0,2,m,1
2,50,shirt,0,2,m,1
1,50,shirt,0,3,m,1
2,50,shirt,0,3,m,1
0,25,shirt,0,0,m,0
3,25,shirt,0,0,m,1
0,25,shirt,0,1,m,1
3,25,shirt,0,1,m,1
0,25,shirt,0,2,m,1
3,25,shirt,0,2,m,1
0,25,shirt,0,3,m,1
3,25,shirt,0,3,m,1
0,20,shirt,0,4,m,0
3,20,shirt,0,4,m,1
4,50,shirt,0,4,m,0
4,50,shirt,0,4,m,0
0,20,shirt,0,4,m,0
2,20,shirt,0,4,m,1
3,20,shirt,0,4,m,1
3,25,shirt,0,4,m,0
0,25,shirt,0,4,m,1
4,25,shirt,0,4,m,1
2,20,shirt,0,4,m,0
0,20,shirt,0,4,m,0
0,20,shirt,0,4,m,0
2,20,shirt,0,4,m,1
3,20,shirt,0,4,m,1
2,20,shirt,0,4,m,0
3,20,shirt,0,4,m,1
0,20,shirt,0,4,m,0
0,25,shirt,0,4,m,0
3,25,shirt,0,4,m,1
2,20,shirt,0,4,m,0
0,20,shirt,0,4,m,0
3,20,shirt,0,4,m,0
0,20,shirt,0,4,m,0
2,20,shirt,0,4,m,0
3,15,shirt,0,4,m,0
3,15,shirt,0,4,m,0
0,50,shirt,0,4,m,0
1,50,shirt,0,4,m,1
4,30,pant,0,4,m,0
2,30,pant,0,4,m,1
4,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,25,pant,0,4,m,0
1,50,pant,0,4,m,1
0,20,pant,0,4,m,0
2,20,pant,0,4,m,1
4,50,pant,0,4,m,0
4,50,pant,0,4,m,0
4,20,jacket,0,4,m,0
4,20,jacket,0,4,m,0
4,15,jacket,0,4,m,0
3,0,jacket,0,4,m,0
4,50,jacket,1,4,m,0
4,50,jacket,1,4,m,0
2,15,jacket,0,4,m,0
3,15,jacket,0,4,m,0
4,15,jacket,1,4,m,0
4,10,jacket,1,4,m,0
4,5,jacket,1,4,m,0
4,15,jacket,1,4,m,0
